r-day,rp_id,r-server,r-path,r-date,r-image,r-parameter
Day-11,1000001710,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001707,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,514658,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001712,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,514659,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001713,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,511421,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001716,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,513060,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001705,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,513160,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001704,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001708,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001706,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,509115,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,514660,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001721,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001722,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,509352,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001727,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001703,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001729,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001730,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001731,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001723,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001732,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,1000001734,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,509116,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,515733,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,515730,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,515731,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
Day-11,515732,ecwebs01.llbean.com,/llb/shop/,,151211_DecDailyDeal_Generic_desktop_retail.png,nav=bn-retail
